key,지역,정보공시 학교코드,학교명,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
S010001010-2023,서울특별시 강서구,S010001010,서울개화초등학교,유,무,유,6.8999999999999995,9.715384615384616,0,0,0,7.792307692307692,12.0,10.0,10.0,4.0,6.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,유,무,시설없음
S010001010-2024,서울특별시 강서구,S010001010,서울개화초등학교,무,무,무,6.6,7.965168539325842,0,0,0,9.08876404494382,12.0,10.0,10.0,10.0,6.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,유,무,시설없음
S010001011-2021,서울특별시 양천구,S010001011,서울경인초등학교,무,무,시설없음,27.5,1.3830793905372896,0,0,1,0.3405773857257418,12.0,11.0,10.0,5.0,5.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,미설치,미설치,적정설치,적정설치,미설치,미설치,미설치,무,무,시설없음
S010001011-2022,서울특별시 양천구,S010001011,서울경인초등학교,무,무,시설없음,26.6,3.3230703986429173,0,0,0,0.35445292620865143,12.0,11.0,8.0,5.0,6.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,미설치,미설치,적정설치,적정설치,미설치,미설치,미설치,유,유,시설없음
S010001011-2023,서울특별시 양천구,S010001011,서울경인초등학교,무,무,시설없음,22.400000000000002,3.439191564147628,0,0,0,0.3636203866432337,10.0,10.0,11.0,6.0,4.0,3.0,2.0,적정설치,적정설치,적정설치,적정설치,미설치,미설치,적정설치,적정설치,미설치,미설치,미설치,유,유,시설없음
S010001011-2024,서울특별시 양천구,S010001011,서울경인초등학교,무,무,시설없음,24.400000000000002,2.5657534246575344,0,0,0,0.373972602739726,17.0,7.0,13.0,5.0,5.0,2.0,3.0,적정설치,적정설치,적정설치,적정설치,미설치,미설치,적정설치,적정설치,미설치,적정설치,적정설치,유,유,시설없음
S010001012-2021,서울특별시 양천구,S010001012,서울계남초등학교,무,무,시설없음,18.6,2.0347037484885124,0,0,0,0.8255139056831923,6.0,5.0,8.0,5.0,4.0,3.0,3.0,적정설치,단순설치,적정설치,단순설치,단순설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,무,무,시설없음
S010001012-2022,서울특별시 양천구,S010001012,서울계남초등학교,무,무,시설없음,18.8,3.0601029601029603,0,0,0,0.8722007722007722,12.0,11.0,8.0,6.0,4.0,2.0,2.0,적정설치,단순설치,적정설치,단순설치,단순설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,무,무,시설없음
S010001012-2023,서울특별시 양천구,S010001012,서울계남초등학교,무,무,시설없음,17.6,3.416326530612245,0,0,0,0.8653061224489795,14.0,11.0,18.0,6.0,4.0,3.0,2.0,적정설치,단순설치,적정설치,단순설치,단순설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,무,유,시설없음
S010001012-2024,서울특별시 양천구,S010001012,서울계남초등학교,무,무,시설없음,18.6,3.726220362622036,0,0,0,0.9368200836820083,11.0,11.0,8.0,13.0,5.0,2.0,4.0,적정설치,단순설치,적정설치,단순설치,단순설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,유,유,시설없음
S010001013-2021,서울특별시 강서구,S010001013,서울공진초등학교,유,무,유,22.200000000000003,1.0603841536614647,0,0,0,0.5201680672268908,20.0,15.4,11.1,8.4,8.4,2.7,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,유,유,시설없음
S010001013-2022,서울특별시 강서구,S010001013,서울공진초등학교,유,유,무,21.5,2.5585477415666094,0,0,0,0.3287021154945683,10.0,9.0,3.0,2.0,3.0,1.0,1.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,무,무,시설없음
S010001013-2023,서울특별시 강서구,S010001013,서울공진초등학교,무,유,무,22.6,2.4579849946409436,0,0,0,0.3143622722400857,16.0,14.0,9.0,2.0,9.0,2.0,3.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,무,무,시설없음
S010001013-2024,서울특별시 강서구,S010001013,서울공진초등학교,무,유,무,18.900000000000002,2.732937532266391,0,0,0,0.5130098089829633,13.0,13.0,9.0,6.0,4.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,유,무,시설없음
S010001014-2021,서울특별시 강서구,S010001014,서울공항초등학교,유,유,유,23.400000000000002,1.2049723756906077,0,0,0,0.5834254143646409,11.0,11.0,8.0,4.0,6.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,유,유,시설없음
S010001014-2022,서울특별시 강서구,S010001014,서울공항초등학교,무,무,무,23.400000000000002,2.4407022106631993,0,0,0,0.5551365409622887,10.0,9.0,3.0,3.0,2.0,0.0,1.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,유,유,시설없음
S010001014-2023,서울특별시 강서구,S010001014,서울공항초등학교,무,무,무,21.3,3.9461538461538463,0,0,0,0.5487179487179487,10.0,9.5,3.0,5.0,2.0,0.0,1.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,유,무,시설없음
S010001014-2024,서울특별시 강서구,S010001014,서울공항초등학교,무,무,무,20.200000000000003,3.841935483870968,0,0,0,0.5516129032258065,12.0,11.0,8.0,5.0,2.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,유,무,시설없음
S010001015-2021,서울특별시 양천구,S010001015,서울남명초등학교,무,무,무,15.4,8.02079207920792,0,0,0,5.05049504950495,10.0,9.0,3.0,3.0,2.0,1.0,1.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치,유,무,시설없음
S010001015-2022,서울특별시 양천구,S010001015,서울남명초등학교,무,무,무,17.0,6.6326633165829145,0,0,0,1.356281407035176,10.0,10.0,10.0,3.0,7.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,미설치,유,무,시설없음
S010001015-2023,서울특별시 양천구,S010001015,서울남명초등학교,무,무,무,17.8,5.416973415132924,0,0,0,0.91799591002045,12.0,11.0,8.0,4.0,6.0,2.0,2.0,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,미설치,유,무,시설없음
S010001015-2024,서울특별시 양천구,S010001015,서울남명초등학교,무,무,무,16.3,4.653734061930782,0,0,0,0.8285974499089253,12.0,11.0,8.0,10.0,4.0,2.0,2.0,단순설치,단순설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,단순설치,적정설치,미설치,유,무,시설없음
S010001016-2021,서울특별시 강서구,S010001016,서울내발산초등학교,무,무,무,24.5,1.1376134889753566,0,0,0,0.424254215304799,13.0,11.0,9.0,3.0,7.0,3.0,3.0,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,유,유,시설없음
S010001016-2022,서울특별시 강서구,S010001016,서울내발산초등학교,무,무,무,21.900000000000002,3.649060542797495,0,0,0,0.4479471120389701,12.0,10.0,8.0,3.0,7.0,3.0,3.0,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,무,무,무
S010001016-2023,서울특별시 강서구,S010001016,서울내발산초등학교,무,무,무,20.3,3.6050071530758223,0,0,0,0.457653791130186,12.0,10.0,8.0,3.0,7.0,3.0,3.0,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,무,무,시설없음
